,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37
R1,,11,11,7,10,10,13,13,9,8,10,10,6,7,8,10,13,12,6,13,8,12,7,9,10,15,11,12,9,12,10,9,6,12,11,9,9
R2,11,,10,11,9,7,9,10,10,8,11,7,6,11,6,10,11,10,11,11,8,9,9,8,6,13,11,9,9,10,11,12,9,10,10,9,9
R3,10,5,,10,10,8,6,10,8,9,10,11,9,13,8,10,7,9,7,9,9,9,12,10,11,11,9,12,8,5,7,13,7,9,14,8,8
R4,11,8,10,,5,11,9,10,9,11,11,10,11,9,11,14,12,8,9,8,6,8,11,9,11,7,8,10,10,10,11,6,12,11,8,6,12
R5,8,8,13,10,,9,11,12,8,12,8,12,10,11,8,5,11,12,10,11,8,9,7,9,7,9,11,11,12,9,10,9,12,11,9,11,6
R6,9,10,12,9,9,,10,11,9,6,12,11,8,10,8,8,7,8,9,9,6,10,6,10,10,9,8,14,8,7,11,9,9,11,9,10,9
R7,6,14,8,11,15,11,,12,12,11,9,7,11,11,8,8,6,7,9,8,9,6,10,10,9,8,8,8,9,11,9,11,7,10,7,12,10
R8,8,11,7,9,9,9,9,,9,9,12,9,10,7,8,9,6,9,14,13,8,12,12,7,7,10,10,9,8,8,13,7,13,9,10,7,10
R9,9,9,15,9,7,8,9,11,,8,10,9,10,10,11,7,9,11,8,10,10,10,11,10,12,10,7,10,10,8,11,9,12,12,13,10,7
R10,9,9,10,8,9,10,9,8,12,,14,7,9,10,8,9,9,9,11,11,12,13,7,10,7,12,12,6,11,8,9,11,8,9,9,7,8
R11,10,12,10,8,10,8,10,7,7,10,,11,11,8,12,12,11,11,11,13,13,10,10,8,10,11,11,8,8,13,10,7,8,8,11,8,9
R12,7,11,7,10,12,10,10,9,10,9,12,,13,7,7,11,10,6,9,9,15,11,5,14,9,11,11,10,11,9,11,10,12,9,10,9,12
R13,8,9,6,9,6,10,9,8,12,11,9,13,,12,9,10,9,12,9,11,7,9,8,10,8,10,9,12,12,11,10,7,10,11,8,9,8
R14,9,10,12,9,12,10,9,7,10,9,6,13,6,,9,10,10,9,3,13,8,9,10,11,12,9,9,8,10,13,10,9,7,13,10,13,10
R15,7,9,11,11,12,8,11,8,10,9,13,11,8,11,,13,10,11,7,9,9,10,13,9,8,11,10,10,10,8,10,6,12,8,9,11,9
R16,9,10,9,9,10,9,7,9,10,8,11,10,9,7,8,,8,12,12,8,9,10,11,8,10,11,12,8,9,7,9,14,9,10,9,6,7
R17,9,8,7,11,12,12,10,9,11,9,12,8,8,6,10,10,,7,12,10,10,9,12,8,7,9,10,7,10,9,9,11,13,11,3,11,9
R18,8,8,8,9,9,12,10,7,10,7,9,7,7,11,13,9,13,,9,8,9,13,13,10,11,9,7,10,11,12,7,13,7,8,6,10,10
R19,8,9,11,10,11,8,11,9,9,8,15,7,9,8,11,9,9,8,,6,8,9,9,6,9,14,9,9,8,10,11,7,9,6,8,9,6
R20,12,8,9,9,17,8,13,10,10,11,11,12,9,11,10,9,12,9,8,,6,11,7,9,11,5,12,11,10,10,10,9,9,10,7,7,6
